Is_Press,Conductance,Weight_g,Force_N,Exp_ID
1.0,0.0048475446951013,272.48,2.6730288,2
1.0,0.0045793835939946,180.22,1.7679582,2
1.0,0.0042696724978879,142.57,1.3986117,2
1.0,0.0040853010700004,85.38,0.8375778,2
1.0,0.0041317191912914,63.94,0.6272514,2
1.0,0.0041125184894204,66.55,0.6528555,2
1.0,0.0041729260383369,68.13,0.6683553,2
1.0,0.0042929509560704,75.15,0.7372215000000001,2
1.0,0.005329922154728,186.65,1.8310365,2
1.0,0.005471357413846,330.08,3.2380848,2
1.0,0.0051030822356446,324.46,3.1829526,2
1.0,0.0042299394939725,111.17,1.0905777,2
1.0,0.0041958628615958,64.97,0.6373557000000001,2
1.0,0.0042629379987085,67.24,0.6596244,2
1.0,0.0045620437748081,84.06,0.8246286,2
1.0,0.0055129830447489,264.15,2.5913115,2
1.0,0.0056644386220435,329.15,3.2289615,2
1.0,0.0044157908486452,332.01,3.2570181,2
1.0,0.0043192812529402,65.66,0.6441246,2
1.0,0.0042121224707799,66.61,0.6534441000000001,2
1.0,0.0042843065666239,67.83,0.6654123000000001,2
1.0,0.0044638871330064,78.26,0.7677306000000002,2
1.0,0.005639839796741,221.1,2.168991,2
1.0,0.0057860324840245,334.74,3.2837994,2
1.0,0.0057071110278101,330.79,3.2450499000000006,2
1.0,0.0056727932512321,327.18,3.2096358000000005,2
1.0,0.0055997311815447,324.99,3.1881519000000003,2
1.0,0.0058360081363524,331.27,3.2497587,2
1.0,0.0056673278227978,331.13,3.2483853,2
1.0,0.0056474840139634,343.88,3.3734628000000004,2
1.0,0.0056976810113515,325.18,3.1900158000000003,2
1.0,0.0057100439347339,325.03,3.1885443,2
1.0,0.0057405280956341,324.51,3.1834431,2
1.0,0.0055710306096321,331.05,3.2476005000000003,2
1.0,0.0051655560454281,342.41,3.359042100000001,2
1.0,0.0040188080053899,65.26,0.6402006,2
1.0,0.0039627501328997,4.26,0.0417906,2
1.0,0.0039712481475269,4.32,0.0423792,2
1.0,0.0039039625067188,4.25,0.0416925,2
1.0,0.0038804811646081,4.32,0.0423792,2
1.0,0.0039511636020737,4.28,0.0419868,2
1.0,0.0039706174152447,4.31,0.0422810999999999,2
1.0,0.0039572615593301,4.34,0.0425754,2
1.0,0.0038840984856517,4.34,0.0425754,2
1.0,0.0047668986330112,45.15,0.4429214999999999,2
1.0,0.0045879977767113,317.81,3.1177161,2
1.0,0.0058713010458472,330.24,3.2396544000000005,2
1.0,0.0061819979835435,658.33,6.458217300000001,2
1.0,0.0062192922058629,699.26,6.8597406,2
1.0,0.0063047726731935,676.78,6.6392118,2
1.0,0.0064607830051635,674.48,6.6166488,2
1.0,0.0063979526142165,672.96,6.601737600000001,2
1.0,0.006420545705165,671.54,6.587807399999999,2
1.0,0.0064956154173717,670.28,6.5754468,2
1.0,0.0064160143307069,689.91,6.768017100000001,2
1.0,0.0065655570444123,687.56,6.7449636,2
1.0,0.0065780817880668,696.13,6.829035300000001,2
1.0,0.0072051300006835,779.49,7.646796900000001,2
1.0,0.0077525388964063,1052.58,10.325809799999998,2
1.0,0.0078573111663604,1106.55,10.8552555,2
1.0,0.0079706678784419,1097.17,10.7632377,2
1.0,0.0077429345122498,1097.58,10.7672598,2
1.0,0.0077077230791758,1094.76,10.7395956,2
1.0,0.0076178867401699,1101.01,10.8009081,2
1.0,0.0076475985955368,1091.36,10.7062416,2
1.0,0.0077053474518003,1090.55,10.6982955,2
1.0,0.0077023799761042,1089.51,10.6880931,2
1.0,0.0077178358592433,1090.81,10.7008461,2
1.0,0.0077023799761042,1089.95,10.6924095,2
1.0,0.0077077230791758,1087.1,10.664451,2
1.0,0.0069075084139841,1091.87,10.7112447,2
1.0,0.0062570391299146,682.33,6.6936573,2
1.0,0.0063231109306158,643.54,6.3131274,2
1.0,0.0065286935657851,645.93,6.3365733,2
1.0,0.0066141940167061,646.95,6.346579500000001,2
1.0,0.0066582328606549,655.12,6.426727200000001,2
1.0,0.0069949635772596,705.65,6.9224265,2
1.0,0.0078554594826751,1050.53,10.3056993,2
1.0,0.0079795722312514,1094.64,10.7384184,2
1.0,0.0079358780419341,1095.24,10.7443044,2
1.0,0.0063451776247133,990.3,9.714843,2
1.0,0.0065197548147101,643.5,6.312735,2
1.0,0.0067558437592498,645.67,6.3340227,2
1.0,0.0069949635772596,646.59,6.3430479,2
1.0,0.0069759329823792,647.39,6.3508959,2
1.0,0.0070452303293981,648.25,6.3593325,2
1.0,0.0070467197022992,648.25,6.3593325,2
1.0,0.0070477129674556,647.99,6.3567819,2
1.0,0.0069324089640734,651.02,6.3865062,2
1.0,0.006397134043007,587.92,5.7674952,2
1.0,0.0046259887837073,345.95,3.3937695,2
1.0,0.0036391426047558,81.54,0.7999074,2
1.0,0.0044226261358514,54.07,0.5304267,2
1.0,0.0057280329606596,253.96,2.4913476,2
1.0,0.0067879445642957,592.04,5.8079124,2
1.0,0.0070771407850166,656.15,6.4368315,2
1.0,0.0064437141153185,638.78,6.2664318,2
1.0,0.0051096009140585,369.25,3.6223425,2
1.0,0.0047254512582674,140.17,1.3750677,2
1.0,0.0052952078088683,188.28,1.8470268,2
1.0,0.005567308731949,301.18,2.9545758,2
1.0,0.0063199140092276,378.98,3.7177938,2
1.0,0.0068315343159479,564.53,5.5380393,2
1.0,0.006673785326523,652.53,6.4013193,2
1.0,0.0054398084891486,379.6,3.7238760000000006,2
1.0,0.0047449584590986,183.19,1.7970939,2
1.0,0.0041189554159364,106.23,1.0421163,2
1.0,0.0041464526925137,75.27,0.7383987,2
1.0,0.0052968906970872,184.56,1.8105336,2
1.0,0.006074227017711,349.48,3.4283988,2
1.0,0.0069512025097233,622.44,6.106136400000001,2
1.0,0.006864360194506,700.62,6.873082200000001,2
1.0,0.0059562808627298,553.92,5.4339552,2
1.0,0.0050243681604563,305.47,2.9966607000000005,2
1.0,0.0044136469770329,126.66,1.2425346,2
1.0,0.0051730380985306,102.2,1.002582,2
1.0,0.0062127236194537,336.53,3.3013593,2
1.0,0.0065595276709771,573.42,5.6252502,2
1.0,0.0067713975706162,662.47,6.4988307,2
1.0,0.00669120102582,662.84,6.5024604,2
1.0,0.006876633153097,661.61,6.4903941000000005,2
1.0,0.0065733254021341,660.5,6.4795050000000005,2
1.0,0.0066212010420366,659.24,6.4671444000000005,2
1.0,0.0067199784509107,658.41,6.459002099999999,2
1.0,0.0067558437592498,657.68,6.451840799999999,2
1.0,0.0066255879770384,657.15,6.4466415,2
1.0,0.0067222371153385,657.1,6.446151,2
1.0,0.0067819599404411,656.8,6.443207999999999,2
1.0,0.0079302140528928,890.19,8.7327639,2
1.0,0.007849909664417,1091.55,10.7081055,2
1.0,0.0077700077096347,1089.14,10.6844634,2
1.0,0.007808229813319,1087.56,10.6689636,2
1.0,0.0079302140528928,1086.33,10.6568973,2
1.0,0.0079980803967201,1085.98,10.6534638,2
1.0,0.008133387489765,1084.74,10.6412994,2
1.0,0.0080866892440021,1083.57,10.6298217,2
1.0,0.0082311300664159,1083.29,10.627074899999998,2
1.0,0.0082932492262958,1082.89,10.623150900000002,2
1.0,0.0082406262196899,1082.41,10.6184421,2
1.0,0.0083056477715477,1081.94,10.613831400000002,2
1.0,0.0080899602937467,1081.83,10.6127523,2
1.0,0.0079827571806277,1081.09,10.6054929,2
1.0,0.0080651664806422,1080.96,10.604217600000002,2
1.0,0.0082372322220985,1080.5,10.599705,2
1.0,0.0081195192585294,1080.28,10.5975468,2
1.0,0.0080775443612476,1079.73,10.5921513,2
1.0,0.0083298624878811,1079.67,10.591562700000004,2
1.0,0.0082815734303803,1079.36,10.5885216,2
1.0,0.0084210525606648,1079.11,10.586069099999998,2
1.0,0.0085353362193979,1078.95,10.584499500000002,2
1.0,0.0083605049046024,1078.8,10.583028,2
1.0,0.0085689802179179,1078.58,10.5808698,2
1.0,0.0084345478370905,1078.32,10.5783192,2
1.0,0.0085557836365863,1078.15,10.576651500000002,2
1.0,0.0086244069976334,1077.96,10.5747876,2
1.0,0.0082802019683679,1107.97,10.8691857,2
1.0,0.009423294294918,1217.83,11.9469123,2
1.0,0.0100441943547188,1484.69,14.5648089,2
1.0,0.0100887811734384,1496.68,14.6824308,2
1.0,0.0105775332073457,1495.44,14.6702664,2
1.0,0.0100948918827489,1494.07,14.656826700000002,2
1.0,0.0108731106787744,1493.28,14.6490768,2
1.0,0.0106190930166816,1492.52,14.6416212,2
1.0,0.0104876768695576,1491.62,14.6327922,2
1.0,0.0101235066802641,1491.21,14.628770100000002,2
1.0,0.010936132863778,1490.66,14.623374600000002,2
1.0,0.0104307915882883,1489.97,14.6166057,2
1.0,0.0103950102869541,1489.4,14.611014,2
1.0,0.0106632543115455,1489.17,14.608757700000002,2
1.0,0.0105663566085549,1488.81,14.6052261,2
1.0,0.0105842505230286,1488.17,14.5989477,2
1.0,0.0105496359262618,1487.8,14.595318,2
1.0,0.0107365255450233,1487.57,14.5930617,2
1.0,0.0103906898338457,1487.29,14.5903149,2
1.0,0.0103950102869541,1487.1,14.588451,2
1.0,0.0105152469977366,1487.07,14.5881567,2
1.0,0.0104373237612219,1486.75,14.5850175,2
1.0,0.0105019952688301,1486.71,14.5846251,2
1.0,0.01048547750356,1487.03,14.587764300000002,2
1.0,0.0104351454613884,1486.63,14.583840300000002,2
1.0,0.0113713894544986,1556.43,15.2685783,2
1.0,0.0117522621723791,1905.41,18.6920721,2
1.0,0.011814744661924,1914.23,18.7785963,2
1.0,0.0116346711851696,1913.57,18.7721217,2
1.0,0.0120583623289718,1913.04,18.7669224,2
1.0,0.0121936347738856,1912.32,18.7598592,2
1.0,0.0117868928360809,1911.83,18.7550523,2
1.0,0.0117702446825536,1911.41,18.7509321,2
1.0,0.0115180832582575,1913.42,18.7706502,2
1.0,0.0105708244125705,1592.86,15.6259566,2
1.0,0.0105820104700316,1473.72,14.4571932,2
1.0,0.0106055784218307,1474.44,14.4642564,2
1.0,0.0106963310440011,1474.96,14.4693576,2
